Customer,Name,Hour,Queries,Total Runtime,Average Runtime
PACFF,PACFF_Viewer,14,187,539.9711,3.1212202312138726
WAFMLYS,WAFMLYS_Viewer,22,40,149.9416,4.165044444444444
WAFMLYS,WAFMLYS_Viewer,21,59,78.1701,1.6285437500000002
WAFMLYS,WAFMLYS_Viewer,20,29,61.4058,2.117441379310345
WAFMLYS,WAFMLYS_Viewer,1,7,28.7068,4.1009714285714285
WAFMLYS,WAFMLYS_Viewer,19,4,17.4831,4.370775
CTTCFGC,CTTCFGC_Writer,14,108,163.2228,1.897939534883721
CTTCFGC,CTTCFGC_Writer,23,87,158.4125,2.6402083333333333
CTTCFGC,CTTCFGC_Writer,22,58,121.4649,2.429298
CTTCFGC,CTTCFGC_Writer,19,16,100.5153,6.28220625
CTTCFGC,CTTCFGC_Writer,10,14,77.5441,5.538864285714285
HRZNH,HRZNH_Viewer,16,7,34.7888,4.969828571428572
SNTRO,SNTRO_Viewer,19,5,35.1849,7.03698
WACCDOY,WACCDOY_Viewer,17,126,412.6324,3.8206703703703706
WACCDOY,WACCDOY_Writer,17,54,158.1166,3.2940958333333334
WACCDOY,WACCDOY_Writer,20,57,141.0903,3.7129026315789475
WACCDOY,WACCDOY_Writer,21,36,95.552,2.730057142857143
WACCDOY,WACCDOY_Writer,16,48,94.6204,2.0569652173913044
ILBEWCB,ILBEWCB_Viewer,19,115,668.443,8.053530120481927
ILBEWCB,ILBEWCB_Viewer,15,66,297.1943,5.943886
ILBEWCB,ILBEWCB_Viewer,20,46,133.0407,2.95646
ILBEWCB,ILBEWCB_Viewer,17,19,80.6507,4.244773684210526
ILBEWCB,ILBEWCB_Viewer,18,18,80.1226,4.451255555555556
OHBUTLR,OHBUTLR_Viewer,16,11,42.0041,3.8185545454545458
OHBUTLR,OHBUTLR_Viewer,20,4,34.0917,8.522925
PALCARC,PALCARC_Writer,19,720,153.7763,1.618697894736842
PALCARC,PALCARC_Writer,18,695,144.4602,1.7404843373493974
PALCARC,PALCARC_Writer,17,40,94.8281,3.647234615384616
PALCARC,PALCARC_Writer,14,94,94.7263,2.1528704545454542
PALCARC,PALCARC_Writer,13,42,89.2708,3.0783034482758618
IACIOWA,IACIOWA_Writer,14,633,910.1833,1.707660975609756
IACIOWA,IACIOWA_Writer,13,374,530.4531,1.7506702970297028
IACIOWA,IACIOWA_Writer,18,407,283.8871,1.158722857142857
IACIOWA,IACIOWA_Writer,16,226,272.5101,1.7468596153846154
IACIOWA,IACIOWA_Writer,15,219,258.1265,1.676146103896104
RINEBAS,RINEBAS_Viewer,13,46,1829.5969,39.77384565217391
RINEBAS,RINEBAS_Viewer,17,28,117.8599,4.209282142857143
RINEBAS,RINEBAS_Viewer,18,7,40.3996,5.771371428571428
RINEBAS,RINEBAS_Viewer,16,2,24.9612,12.4806
RINEBAS,RINEBAS_Viewer,12,2,1.5287,0.76435
AKCOOK,AKCOOK_Writer,21,13718,17919.4238,7.162039888089528
AKCOOK,AKCOOK_Writer,17,20054,17544.191,6.3450962025316455
AKCOOK,AKCOOK_Writer,22,24833,15996.8324,6.494856841250507
AKCOOK,AKCOOK_Writer,19,14715,13931.5635,5.938432864450128
AKCOOK,AKCOOK_Writer,20,14134,12639.0554,6.138443613404565
GARCVPL,GARCVPL_Viewer,18,67,197.408,3.5892363636363633
GARCVPL,GARCVPL_Viewer,12,17,197.1151,13.141006666666668
GARCVPL,GARCVPL_Writer,22,56,190.1434,3.5211740740740742
GARCVPL,GARCVPL_Writer,21,28,172.347,6.1552500000000006
GARCVPL,GARCVPL_Writer,19,75,159.5865,2.455176923076923
KYMRYHT,KYMRYHT_Viewer,15,39,118.8207,3.0466846153846157
KYMRYHT,KYMRYHT_Viewer,19,58,104.9325,2.09865
KYMRYHT,KYMRYHT_Viewer,16,21,70.136,4.3835
KYMRYHT,KYMRYHT_Viewer,18,29,52.3703,1.8058724137931035
KYMRYHT,KYMRYHT_Viewer,14,14,50.865,3.6332142857142857
MOBCSVS,MOBCSVS_Writer,14,84,342.4077,4.389842307692307
MOBCSVS,MOBCSVS_Writer,16,112,312.81,3.4756666666666667
MOBCSVS,MOBCSVS_Writer,13,97,291.2441,3.508965060240964
MOBCSVS,MOBCSVS_Writer,19,117,278.1748,2.781748
MOBCSVS,MOBCSVS_Writer,20,80,202.4584,2.977329411764706
SCHRC,SCHRC_Viewer,21,10,40.5259,4.05259
WAOLYPC,WAOLYPC_Viewer,16,10,35.9007,3.59007
CAREY,CAREY_Viewer,15,108,811.5369,8.72620322580645
CAREY,CAREY_Viewer,16,215,763.2871,3.7974482587064675
CAREY,CAREY_Viewer,13,202,548.0228,4.8072175438596485
CAREY,CAREY_Viewer,21,31,271.9424,8.772335483870968
CAREY,CAREY_Viewer,22,70,268.406,5.710765957446808
FAMOUT,FAMOUT_Viewer,13,20,63.5183,4.234553333333333
FAMOUT,FAMOUT_Viewer,18,5,30.2211,6.04422
FAMOUT,FAMOUT_Viewer,8,5,19.2849,3.85698
FAMOUT,FAMOUT_Viewer,12,5,17.9351,3.58702
SCCTC,SCCTC_Viewer,14,746,2077.8274,3.3513345161290324
SCCTC,SCCTC_Viewer,16,460,1572.0742,4.428378028169014
SCCTC,SCCTC_Viewer,13,323,1295.8264,4.964852107279693
SCCTC,SCCTC_Viewer,12,275,1253.3147,5.80238287037037
SCCTC,SCCTC_Viewer,17,304,1160.38,4.896118143459916
TXHOUST,TXHOUST_Viewer,19,20,60.3379,5.485263636363636
TXHOUST,TXHOUST_Viewer,16,10,50.2768,5.02768
TXHOUST,TXHOUST_Viewer,3,20,38.1046,3.81046
TXHOUST,TXHOUST_Viewer,20,40,0.1388,0.0347
WILDR,WILDR_Viewer,19,155,409.8682,3.227308661417323
WILDR,WILDR_Viewer,13,35,269.9277,7.71222
WILDR,WILDR_Viewer,21,66,226.0951,3.425683333333333
WILDR,WILDR_Viewer,16,105,222.5843,2.7479543209876547
WILDR,WILDR_Viewer,14,76,201.1523,3.7250425925925925
AKAKELA,AKAKELA_Viewer,17,770,2511.4276,3.6344827785817655
AKAKELA,AKAKELA_Writer,16,279,1038.9888,4.4401230769230775
AKAKELA,AKAKELA_Writer,21,399,910.317,2.6386
AKAKELA,AKAKELA_Writer,20,270,806.8879,3.916931553398058
AKAKELA,AKAKELA_Viewer,19,350,768.5351,2.7253017730496456
GGMHC,GGMHC_Viewer,15,147,438.275,5.280421686746988
GGMHC,GGMHC_Viewer,21,105,146.3771,3.8520289473684213
GGMHC,GGMHC_Viewer,16,94,134.2631,3.1967404761904765
GGMHC,GGMHC_Viewer,2,52,79.6842,3.622009090909091
GGMHC,GGMHC_Viewer,20,12,46.7365,4.248772727272727
WATRITS,WATRITS_Viewer,21,202,631.329,3.468840659340659
WATRITS,WATRITS_Viewer,15,188,409.4195,2.82358275862069
WATRITS,WATRITS_Viewer,22,183,330.8602,2.346526241134752
WATRITS,WATRITS_Viewer,19,137,329.5757,2.701440163934426
WATRITS,WATRITS_Viewer,16,151,279.9444,4.0571652173913035
CTSCADD,CTSCADD_Writer,10,13277,34118.2415,10.678635837245695
CTSCADD,CTSCADD_Writer,18,1789,5403.6023,6.078292800899887
CTSCADD,CTSCADD_Writer,15,1555,3998.5063,4.864362895377129
CTSCADD,CTSCADD_Writer,17,1468,3628.2771,4.78664525065963
CTSCADD,CTSCADD_Writer,14,1718,3245.9964,4.392417320703654
ALMAMHA,ALMAMHA_Viewer,17,79,209.4867,6.757635483870968
ALMAMHA,ALMAMHA_Viewer,15,43,186.2359,5.173219444444444
ALMAMHA,ALMAMHA_Viewer,16,52,162.0695,3.4482872340425534
ALMAMHA,ALMAMHA_Viewer,19,43,155.2552,3.610586046511628
ALMAMHA,ALMAMHA_Viewer,18,38,50.4891,4.207425
