Customer,Total Queries,Avg MB Scanned,Avg Execution Secs,Max Execution Secs
ILECKER,529,113.00246587712665,0.8873875236294896,9.858
SHLTR,528,5.789034094696969,0.22418181818181818,1.99
CAMASADA,527,21.6701694573055,0.6183225806451613,8.774
MASTPST,511,65.86396553033268,0.6854246575342466,7.247
OHSHCCC,511,182.2719648454012,1.078160469667319,12.136
DEMOSYS,474,38.139398267932485,0.41829324894514763,6.624
ORWILLF,453,190.52217542825608,0.7935894039735099,8.222
OHSIXCO,450,73.72401616222221,0.78906,5.018
MASTANN,398,16.947840118090454,0.451964824120603,4.69
OHWOMENS,380,18.586568407894738,0.4371815789473684,4.37
DEMO6,379,44.91134527440634,0.6631662269129288,5.046
OHLYAFS,374,76.06334549465241,1.079548128342246,14.513
CLTSP,371,64.47883882479785,0.9152156334231807,7.573
SDLSSSD,352,37.11838447727273,0.5187443181818182,7.797
MNNPMHC,342,18.79633726023392,0.5030438596491228,6.239
FCDHS,319,11.390379993730408,0.3810595611285267,2.585
OHPIKEC,316,56.74762450316455,0.5734398734177215,6.269
OHJCESC,314,45.11739916878981,1.3539331210191083,60.143
OHCRSCN,313,11.434754428115017,0.6395079872204473,9.24
MEOCMHS,310,99.25430518387097,0.7784870967741935,6.12
DCCCA,308,138.79125193506493,1.5912207792207793,15.167
MOBCSVS,285,133.02842098245614,1.1796280701754387,17.781
CHRYSALIS,263,14.725290646387833,0.4574144486692015,3.22
CTBDGHC,262,134.26830576717558,1.011732824427481,6.876
IAYTHSS,261,22.619058091954024,0.6443448275862069,4.225
OHSTJOE,256,34.631154046875,0.4745078125,9.822
CTCCAOH,254,28.80602146062992,0.49178740157480316,4.306
NYCASES,252,114.21735926587301,1.0226428571428572,10.945
OHFOBHS,239,12.990795665271968,0.7168995815899581,32.406
PALCARC,236,59.789907279661016,0.7292796610169492,9.694
PFORP,232,115.2466515948276,0.6654181034482759,4.078
ORCOLCR,228,80.36218494736842,0.7953464912280702,10.303
WILDR,227,18.21518592951542,0.4913568281938326,3.381
WAAMBHS,226,21.130107451327433,1.133862831858407,24.025
VILAG,224,39.14713550892857,0.6667589285714286,4.458
AKJAM,221,23.671007398190046,0.6540361990950226,4.833
PACCTC,206,57.40914509223301,0.6307135922330097,4.783
WAFMLYS,202,16.86944061881188,0.3530495049504951,3.409
NJPREBH,200,66.151451495,0.482195,4.294
NCOMM,191,15.801240743455498,0.522738219895288,4.8
OHGCBHS,184,10.980496923913044,0.4397663043478261,4.114
OHMUSBH,184,73.38364583695652,0.5944728260869565,5.471
OHCLS,175,139.77178273142857,0.8794514285714286,5.252
ALMAMHA,174,20.110368172413793,0.6409827586206897,4.042
IAFOUNDATION,173,9.154476190751446,0.45146820809248556,3.001
MABOSTN,170,34.54103965294118,0.584,8.585
OHSCITO,169,45.8505970591716,0.7918224852071006,3.702
MIWLSLS,164,71.42539731707318,0.7341829268292683,5.749
ORFAMSL,161,294.7442971614907,1.846937888198758,60.821
MASMDOC,160,17.567789618750002,0.55764375,3.599
MNHDC,154,142.23990002597404,1.4851948051948052,10.02
OHEASTC,153,189.29961798692813,2.3287581699346407,28.135
GACARING,152,31.004189105263162,0.4940263157894737,3.824
OHCOMHA,148,20.910068006756756,0.32055405405405407,6.426
OHBHCCH,144,146.9286123958333,1.0488888888888888,9.504
MAVOLAM,141,14.894142560283688,0.45701418439716307,4.102
DEMO13,136,8.649868669117648,0.37276470588235294,3.949
COCONSORTIUM,130,176.6755002769231,1.3848538461538462,13.657
DEMO3,128,25.063375234375,0.3333203125,2.187
PAVPS,123,33.730762,0.570170731707317,5.041
OHISBHOHIO,112,47.55585944642858,1.4367053571428572,74.692
PADCFCM,108,8.136011824074073,0.44406481481481486,3.288
NYLISCI,108,34.16412387037037,1.093,5.496
WALIFLN,103,56.83495598058253,0.9959805825242718,7.893
DECNXNS,99,298.20592595959596,2.0232929292929294,12.927
IAYHFS,98,9.502159673469388,0.3663265306122449,2.898
ILSRTCN,94,19.884750170212765,0.6192872340425531,3.256
CTCHFST,94,11.053893882978723,0.33660638297872336,3.518
ILPILRS,83,9.933618951807228,0.4047710843373494,2.627
WAACIHS,76,8.213409223684211,0.4504078947368421,4.944
CTCWBGC,74,65.15340544594595,0.8346756756756757,4.824
GACFI,74,18.780050527027026,0.5886756756756757,5.464
KYMRYHT,69,15.706600695652172,0.5642318840579711,4.774
GAGTWY,68,521.662203,3.2213676470588233,20.876
GARCVPL,68,32.55736294117647,0.5129117647058824,8.57
LARMSRV,67,23.585893029850745,0.5156417910447761,2.398
GAAACSB,67,69.10231110447762,1.1089850746268657,8.816
OHCCHOO,61,20.839950639344263,0.7498196721311475,5.894
ALBRIGE,60,19.377883750000002,0.7616499999999999,6.819
NECHN,59,48.41053366101695,0.7366949152542374,3.787
AKCHLDF,58,22.58512181034483,0.6183448275862069,3.072
NJVANHS,58,14.140838896551726,0.5233620689655173,2.748
WADSBHC,47,26.834976872340427,0.7684468085106383,2.795
PAUNITY,47,19.81750974468085,0.7647872340425532,3.694
PALARCHE,44,22.051354681818182,0.8578863636363636,6.367
CPLSY,40,6.549838175,0.36219999999999997,1.872
DPHMH,38,13.105841236842105,0.38813157894736844,1.917
ALVOASE,38,12.754571026315789,0.6328157894736842,2.499
SBHIO,36,116.20179383333334,1.0881666666666667,3.904
OHNDI,36,82.93247116666666,0.8486111111111111,5.525
ILBEWCB,35,14.094279942857144,0.6940857142857143,3.098
CAGHMHC,25,161.69264136,1.74772,6.203
CTJFSGNH,24,10.422762291666666,0.4227083333333333,1.737
WAPOCCS,24,6.257116833333334,0.39599999999999996,1.72
CGCMF,24,10.108967916666666,0.28108333333333335,1.317
ZMBRO,24,55.34450758333333,0.61075,2.911
MTWAIN,24,12.437862208333334,0.96625,11.24
CAREY,20,16.95717755,0.59165,2.166
PAICFSI,20,14.1689773,0.4383,1.837
MNCHOSC,19,30.999143684210527,0.758,2.384
CTTCFGC,16,26.9791830625,0.8244375,4.043
MAGADRA,14,33.58987842857143,1.3829999999999998,6.895
NYCNGSV,14,24.322533571428572,0.687857142857143,2.931
FAMOUT,14,82.00280085714284,0.8103571428571429,2.756
OHMATHP,13,51.56911038461538,0.8266153846153846,3.795
YTHHM,11,8.979933181818181,0.6203636363636363,2.335
MAWYFSN,7,43.97756071428571,1.299,7.767
